PPIN,ISR,OOS,INACTIVE
A0770579,3,7,1
A0770582,3,2,.
A0770585,1,.,.
A0770594,1,.,.
A0770596,3,5,1
A0770599,1,.,.
A0770600,1,.,.
A0770602,3,5,1
A0770609,3,5,1
A0770620,3,5,1
A0770627,3,2,.
A0770638,3,5,1
A0770640,3,5,1
A0770643,3,3,1
A0770647,3,5,1
A0770649,3,5,1
A0770652,3,5,1
A0770654,1,.,.
A0770666,3,5,1
A0770678,3,3,1
A0770682,3,5,.
A0770689,3,5,1
A0770712,3,5,1
A0770713,3,5,1
A0770718,1,.,.
A0770727,3,5,1
A0770749,3,6,1
A0770767,3,5,1
A0770774,1,.,.
A0770783,3,5,1
A0770790,3,2,.
A0770799,3,5,1
A0770801,3,5,1
A0770820,3,5,1
A0770828,3,5,.
A0770844,3,5,1
A0770850,3,5,1
A0770867,2,.,.
A0770868,3,5,.
A0770881,3,5,1
A0770892,3,5,1
A0770899,3,3,1
A0770901,3,5,1
A0770908,3,5,1
A0770909,3,5,1
A0770918,3,5,1
A0770920,3,5,1
A0770921,3,5,1
A0770922,2,.,.
A0770923,3,5,1
A0770930,3,5,1
A0770931,3,5,1
A0770936,3,5,.
A0770937,1,.,.
A0770938,3,5,1
A0770943,3,5,1
A0770945,3,5,1
A0770947,1,.,.
A0770948,3,5,1
A0770951,3,5,.
A0770953,1,.,.
A0770954,2,.,.
A0770957,3,5,.
A0770958,3,5,.
A0770959,3,5,1
A0770961,2,.,.
A0770963,3,5,.
A0770965,3,5,1
A0770967,3,5,1
A0770976,1,.,.
A0770977,3,3,1
A0770978,3,5,1
A0770980,3,5,1
A0770986,1,.,.
A0770987,3,5,1
A0770992,3,2,.
A0770993,3,5,1
A0771000,1,.,.
A0771001,3,7,1
A0771008,1,.,.
A0771009,3,5,.
A0771010,3,5,1
A0771011,3,3,1
A0771013,3,5,1
A0771018,1,.,.
A0771019,3,5,.
A0771020,3,5,1
A0771023,3,2,.
A0771027,3,5,1
A0771029,1,.,.
A0771031,1,.,.
A0771032,1,.,.
A0771033,1,.,.
A0771035,3,5,1
A0771036,3,5,1
A0771039,3,5,.
A0771044,3,5,1
A0771046,3,5,1
A0771047,3,5,1
A0771048,3,5,1
A0771056,3,5,1
A0771069,3,5,1
A0771070,3,5,1
A0771101,1,.,.
A0771102,3,5,1
A0771110,3,5,.
A0771120,3,5,1
A0771124,3,3,.
A0771125,3,5,1
A0771134,1,.,.
A0771135,3,3,1
A0771139,3,5,1
A0771144,1,.,.
A0771148,3,5,.
A0771152,3,5,1
A0771155,3,5,1
A0771162,3,5,1
A0771167,3,2,.
A0771171,1,.,.
A0771172,3,2,1
A0771173,3,7,1
A0771176,3,5,1
A0771181,3,5,1
A0771183,3,3,.
A0771189,3,5,1
A0771190,3,5,1
A0771196,3,5,1
A0771199,1,.,.
A0771201,1,.,.
A0771210,1,.,.
A0771212,3,5,1
A0771219,3,5,.
A0771222,3,5,1
A0771225,2,.,.
A0771232,3,5,1
A0771240,3,5,1
A0771241,3,3,1
A0771244,3,2,.
A0771247,1,.,.
A0771251,3,5,1
A0771252,3,5,1
A0771255,1,.,.
A0771256,1,.,.
A0771262,3,5,1
A0771263,3,2,1
A0771267,3,2,1
A0771271,3,5,1
A0771272,3,5,1
A0771275,3,5,1
A0771280,3,7,1
A0771283,3,5,1
A0771284,3,5,.
A0771285,3,5,1
A0771289,1,.,.
A0771293,3,5,1
A0771299,3,5,1
A0771303,3,5,.
A0771304,3,5,1
A0771307,1,.,.
A0771308,1,.,.
A0771309,3,3,1
A0771311,1,.,.
A0771313,1,.,.
A0771314,3,5,.
A0771315,3,5,.
A0771319,3,5,.
A0771320,3,5,1
A0771322,3,5,1
A0771325,3,5,.
A0771326,3,5,.
A0771331,3,5,.
A0771332,3,5,1
A0771338,3,2,.
A0771339,3,5,1
A0771348,2,.,.
A0771355,3,5,1
A0771364,3,5,1
A0771365,3,5,1
A0771386,3,3,1
A0771387,1,.,.
A0771388,3,5,.
A0771390,3,5,1
A0771391,3,5,1
A0771392,3,5,1
A0771395,3,5,1
A0771401,3,5,1
A0771403,3,5,1
A0771405,3,5,.
A0771408,3,5,1
A0771413,3,5,1
A0771417,1,.,.
A0771423,3,5,1
A0771424,3,5,1
A0771438,2,.,.
A0771446,1,.,.
A0771457,3,5,1
A0771459,3,7,1
A0771460,2,.,.
A0771471,1,.,.
A0771474,3,5,1
A0771477,3,2,.
A0771479,2,.,.
A0771480,3,5,.
A0771481,1,.,.
A0771483,3,5,.
A0771484,1,.,.
A0771486,3,5,1
A0771490,3,5,.
A0771492,3,3,1
A0771493,2,.,.
A0771501,1,.,.
A0771502,3,5,.
A0771503,3,5,1
A0771505,3,5,.
A0771506,1,.,.
A0771517,3,5,1
A0771521,1,.,.
A0771523,3,2,.
A0771525,2,.,.
A0771527,3,2,.
A0771530,1,.,.
A0771531,3,3,1
A0771532,1,.,.
A0771533,3,5,1
A0771535,3,5,1
A0771538,3,5,1
A0771539,3,5,1
A0771542,3,5,.
A0771547,3,5,.
A0771548,3,5,.
A0771550,1,.,.
A0771554,3,5,.
A0771555,3,5,.
A0771556,3,3,1
A0771560,3,7,1
A0771562,3,5,1
A0771567,3,5,1
A0771571,3,5,.
A0771572,2,.,.
A0771576,3,5,1
A0771578,3,5,.
A0771579,1,.,.
A0771587,3,3,1
A0771590,1,.,.
A0771623,3,5,1
A0771660,3,5,1
A0771669,3,5,1
A0771674,3,5,1
A0771680,1,.,.
A0771692,1,.,.
A0771708,3,5,1
A0771713,2,.,.
A0771717,3,2,.
A0771721,3,5,1
A0771723,1,.,.
A0771724,1,.,.
A0771728,3,5,1
A0771730,2,.,.
A0771731,2,.,.
A0771737,3,5,1
A0771739,1,.,.
A0771740,1,.,.
A0771744,1,.,.
A0771747,1,.,.
A0771749,3,5,1
A0771751,2,.,.
A0771756,3,5,.
A0771762,1,.,.
A0771763,1,.,.
A0771764,3,5,1
A0771765,1,.,.
A0771767,3,5,.
A0771774,1,.,.
A0771780,1,.,.
A0771781,1,.,.
A0771784,2,.,.
A0771786,3,5,.
A0771787,3,5,1
A0771794,3,2,.
A0771797,2,.,.
A0771800,3,5,1
A0771806,3,5,1
A0771807,1,.,.
A0771813,1,.,.
A0771818,3,5,1
A0771819,2,.,.
A0771821,1,.,.
A0771822,3,5,1
A0771824,3,3,1
A0771825,3,5,.
A0771826,3,7,1
A0771827,2,.,.
A0771828,1,.,.
A0771829,1,.,.
A0771831,2,.,.
A0771832,2,.,.
A0771833,1,.,.
A0771834,3,5,.
A0771835,1,.,.
A0771836,1,.,.
A0771837,1,.,.
A0771839,1,.,.
A0771841,3,5,.
A0771842,1,.,.
A0771843,3,5,.
A0771844,1,.,.
A0771845,1,.,.
A0771849,3,5,.
A0771851,2,.,.
A0771854,1,.,.
A0771855,3,5,.
A0771858,1,.,.
A0771859,3,3,.
A0771860,1,.,.
A0771865,3,5,1
A0771868,3,5,1
A0771871,1,.,.
A0771873,3,5,.
A0771880,3,5,1
A0771883,1,.,.
A0771884,1,.,.
A0771889,1,.,.
A0771890,3,5,.
A0771892,1,.,.
A0771894,3,5,.
A0771895,1,.,.
A0771897,1,.,.
A0790004,3,2,1
A0790011,2,.,.
A0790017,2,.,.
A0790018,1,.,.
A0790021,3,5,1
A0790027,1,.,.
A0790050,1,.,.
A0790052,1,.,.
A0790068,1,.,.
A0790069,1,.,.
A0790077,1,.,.
A0790083,1,.,.
A0790085,3,2,.
A0790101,1,.,.
A0790112,3,2,.
A0790113,3,5,.
A0790114,3,5,.
A0790118,1,.,.
A0790129,2,.,.
A0790131,3,2,.
A0790134,3,5,1
A0790140,1,.,.
A0790145,1,.,.
A0790152,3,5,1
A0790153,1,.,.
A0790155,1,.,.
A0790159,1,.,.
A0790160,1,.,.
A0790162,2,.,.
A0790163,2,.,.
A0790164,1,.,.
A0790166,1,.,.
A0790168,1,.,.
A0790170,1,.,.
A0790172,3,5,1
A0790184,1,.,.
A0790191,1,.,.
A0792001,1,.,.
A0792002,2,.,.
A0792003,3,2,1
A0792004,1,.,.
A0792007,1,.,.
A0792009,2,.,.
A0792021,3,8,1
A0792023,1,.,.
A0792025,3,2,1
A0792028,3,3,1
A0792029,2,.,.
A0792030,2,.,.
A0792032,1,.,.
A0792036,1,.,.
A0792038,2,.,.
A0792040,3,2,.
A0792041,1,.,.
A0792051,3,2,.
A0792053,1,.,.
A0792060,2,.,.
A0792061,2,.,.
A0792063,1,.,.
A0792067,1,.,.
A0792072,3,5,1
A0792075,1,.,.
A0792079,1,.,.
A0792081,1,.,.
A0792082,1,.,.
A0792083,1,.,.
A0792087,1,.,.
A0792090,1,.,.
A0792095,1,.,.
A0792102,1,.,.
A0792106,1,.,.
A0792110,2,.,.
A0900003,1,.,.
A0900014,2,.,.
A0900016,1,.,.
A0900020,1,.,.
A0900023,3,2,1
A0900025,3,2,1
A0900030,3,3,1
A0900031,3,6,.
A0900032,1,.,.
A0900039,3,2,.
A0900042,1,.,.
A0900043,2,.,.
A0900049,1,.,.
A0900053,1,.,.
A0900055,1,.,.
A0900058,3,5,1
A0900062,1,.,.
A0900063,1,.,.
A0900064,3,5,.
A0900067,2,.,.
A0900069,1,.,.
A0900077,2,.,.
A0900084,3,2,1
A0900088,3,5,.
A0900093,1,.,.
A0900096,2,.,.
A0900113,3,3,1
A0900114,1,.,.
A0900116,2,.,.
A0900119,1,.,.
A0900120,1,.,.
A0900124,1,.,.
A0900126,1,.,.
A0900132,3,5,.
A0900133,2,.,.
A0900139,3,8,1
A0900142,1,.,.
A0900145,2,.,.
A0900147,1,.,.
A0900150,1,.,.
A0900156,2,.,.
A0900158,1,.,.
A0900159,1,.,.
A0900160,1,.,.
A0900161,3,5,.
A0900163,3,2,.
A0900168,1,.,.
A0900170,1,.,.
A0900171,1,.,.
A0900180,3,3,.
A0900181,2,.,.
A0900200,1,.,.
A0900202,1,.,.
A0900206,3,5,.
A0900211,1,.,.
A0900212,1,.,.
A0900218,1,.,.
A0900219,1,.,.
A0900229,1,.,.
A0900234,1,.,.
A0900239,3,2,.
A0900244,3,2,1
A0900252,2,.,.
A0900254,3,5,1
A0900255,1,.,.
A0900257,3,5,.
A0900259,1,.,.
A0900264,1,.,.
A0900265,1,.,.
A0900273,3,2,.
A0900278,1,.,.
A0900304,1,.,.
A0900307,1,.,.
A0900313,2,.,.
A0900319,3,5,.
A0900336,3,5,.
A0900348,2,.,.
A0900353,1,.,.
A0900355,2,.,.
A0900366,3,5,1
A0900370,3,5,.
A0900387,1,.,.
A0900391,1,.,.
A0900401,1,.,.
A0900404,1,.,.
A0900406,3,5,.
A0900407,2,.,.
A0900408,2,.,.
A0900415,1,.,.
A0900421,3,5,1
A0900422,1,.,.
A0900425,1,.,.
A0900426,3,5,.
A0900442,3,12,1
A0900451,3,5,1
A0900452,3,2,1
A0900463,3,2,1
A0900465,2,.,.
A0900468,1,.,.
A0900469,3,3,.
A0900475,3,2,.
A0900476,1,.,.
A0900483,3,2,1
A0900486,1,.,.
A0900487,1,.,.
A0900491,3,2,1
A0900496,1,.,.
A0900498,3,2,.
A0900500,3,2,.
A0900505,2,.,.
A0900537,2,.,.
A0900538,3,7,1
A0900540,3,2,1
A0900547,1,.,.
A0900550,1,.,.
A0900557,3,5,1
A0900558,3,5,1
A0900562,3,2,1
A0900570,3,8,.
A0900593,1,.,.
A0900596,1,.,.
A0900601,1,.,.
A0900616,1,.,.
A0900624,1,.,.
A0900631,3,7,.
A0900633,3,5,1
A0900635,3,2,.
A0900641,1,.,.
A0900647,3,5,.
A0900648,1,.,.
A0900651,3,2,.
A0900652,1,.,.
A0900653,1,.,.
A0900656,3,5,.
A0900658,3,5,1
A0900659,1,.,.
A0900663,1,.,.
A0900664,1,.,.
A0900668,3,3,1
A0900669,1,.,.
A0900671,1,.,.
A0900674,1,.,.
A0900677,2,.,.
A0900680,1,.,.
A0900683,3,1,.
A0900684,3,2,.
A0900685,1,.,.
A0900686,3,5,1
A0900687,2,.,.
A0900692,3,5,1
A0900707,2,.,.
A0900712,1,.,.
A0900719,3,2,1
A0900723,1,.,.
A0900726,2,.,.
A0900731,3,2,1
A0900733,3,5,.
A0900734,1,.,.
A0900738,1,.,.
A0900757,3,2,.
A0900763,1,.,.
A0900768,1,.,.
A0900771,1,.,.
A0900777,3,5,1
A0900779,3,5,1
A0900781,1,.,.
A0900783,3,2,.
A0900784,1,.,.
A0900785,1,.,.
A0900796,1,.,.
A0900798,1,.,.
A0900799,1,.,.
A0900806,1,.,.
A0900807,3,3,.
A0900820,1,.,.
A0900827,1,.,.
A0900835,3,2,1
A0900839,1,.,.
A0900847,3,2,.
A0900854,1,.,.
A0900858,1,.,.
A0900860,3,5,1
A0900867,1,.,.
A0900876,3,2,1
A0900881,1,.,.
A0900886,1,.,.
A0900888,1,.,.
A0900889,1,.,.
A0900895,1,.,.
A0900898,1,.,.
A0900899,1,.,.
A0900900,2,.,.
A0900904,2,.,.
A0900909,1,.,.
A0900924,1,.,.
A0900933,3,7,1
A0900934,1,.,.
A0900938,1,.,.
A0900944,2,.,.
A0900945,3,5,1
A0900948,3,3,1
A0900957,1,.,.
A0900964,1,.,.
A0900968,1,.,.
A0900972,1,.,.
A0900981,1,.,.
A0900988,3,5,1
A0900992,1,.,.
A0900995,1,.,.
A0900996,3,2,.
A0900999,3,7,.
A0901002,3,5,.
A0901005,1,.,.
A0901008,3,5,1
A0901011,3,5,1
A0901018,1,.,.
A0901021,1,.,.
A0901025,1,.,.
A0901027,1,.,.
A0901028,3,3,.
A0901030,3,8,.
A0901039,3,5,1
A0901041,1,.,.
A0901043,1,.,.
A0901049,1,.,.
A0901053,1,.,.
A0901057,1,.,.
A0901060,1,.,.
A0901061,1,.,.
A0901068,1,.,.
A0901069,1,.,.
A0901072,1,.,.
A0901073,1,.,.
A0901083,2,.,.
A0901086,1,.,.
A0901090,1,.,.
A0901092,3,2,.
A0901096,2,.,.
A0901103,2,.,.
A0901105,2,.,.
A0901106,3,5,1
A0901108,1,.,.
A0901109,1,.,.
A0901110,1,.,.
A0901120,1,.,.
A0901123,3,5,1
A0901124,3,5,1
A0901125,3,3,1
A0901141,1,.,.
A0901142,1,.,.
A0901147,1,.,.
A0901149,1,.,.
A0901150,1,.,.
A0901153,1,.,.
A0901154,1,.,.
A0901156,1,.,.
A0901157,3,7,1
A0901169,1,.,.
A0901174,1,.,.
A0901180,1,.,.
A0901181,3,2,1
A0901190,1,.,.
A0901192,1,.,.
A0901194,1,.,.
A0901195,1,.,.
A0901199,2,.,.
A0901206,1,.,.
A0901207,1,.,.
A0901208,3,2,.
A0901211,1,.,.
A0901212,3,5,1
A0901214,2,.,.
A0901217,3,5,.
A0901220,1,.,.
A0901229,2,.,.
A0901234,1,.,.
A0901235,1,.,.
A0901236,3,5,1
A0901238,1,.,.
A0901241,3,2,.
A0901243,1,.,.
A0901248,3,2,.
A0901249,1,.,.
A0901250,1,.,.
A0901254,2,.,.
A0901255,2,.,.
A0901261,3,3,1
A0901265,3,5,1
A0901269,1,.,.
A0901275,3,2,.
A0901277,3,2,.
A0901280,1,.,.
A0901287,1,.,.
A0901289,2,.,.
A0901293,1,.,.
A0901299,3,2,.
A0901304,1,.,.
A0901307,3,2,.
A0901309,3,5,.
A0901311,1,.,.
A0901318,1,.,.
A0901319,2,.,.
A0901321,1,.,.
A0901326,2,.,.
A0901328,3,5,.
A0901331,3,2,.
A0901333,2,.,.
A0901335,3,2,.
A0901337,2,.,.
A0901340,2,.,.
A0901343,2,.,.
A0901348,1,.,.
A0901349,1,.,.
A0901350,1,.,.
A0901352,2,.,.
A0901359,1,.,.
A0901360,1,.,.
A0901364,1,.,.
A0901367,1,.,.
A0901370,1,.,.
A0901371,1,.,.
A0901373,1,.,.
A0901374,1,.,.
A0901378,3,2,1
A0901380,1,.,.
A0901384,1,.,.
A0901385,1,.,.
A0901386,3,5,.
A0901389,1,.,.
A0901390,3,5,1
A0901395,1,.,.
A0901396,1,.,.
A0901402,1,.,.
A0901408,1,.,.
A0901409,1,.,.
A0901411,1,.,.
A0901415,3,5,1
A0901419,1,.,.
A0901423,1,.,.
A0901424,1,.,.
A0901430,3,5,.
A0901432,1,.,.
A0901435,1,.,.
A0901437,3,5,1
A0901438,1,.,.
A0901440,3,2,1
A0901445,3,2,.
A0901447,1,.,.
A0901449,3,5,.
A0901450,3,5,1
A0901451,3,2,.
A0901453,1,.,.
A0901457,1,.,.
A0901459,1,.,.
A0901461,1,.,.
A0901463,3,5,1
A0901465,3,3,1
A0901467,1,.,.
A0901468,1,.,.
A0901469,1,.,.
A0901472,1,.,.
A0901474,3,10,.
A0901477,3,2,1
A0901480,1,.,.
A0901481,1,.,.
A0901482,3,5,1
A0901483,1,.,.
A0901484,3,3,.
A0901485,3,2,.
A0901491,3,2,.
A0901493,1,.,.
A0901494,3,5,1
A0901495,3,5,1
A0901496,3,5,1
A0901500,1,.,.
A0901501,3,7,1
A0901502,2,.,.
A0901503,3,2,1
A0901504,1,.,.
A0901506,1,.,.
A0901509,2,.,.
A0901514,3,5,1
A0901516,2,.,.
A0901518,3,3,.
A0901521,1,.,.
A0901523,3,5,1
A0901528,1,.,.
A0901531,1,.,.
A0901535,2,.,.
A0901537,1,.,.
A0901542,3,2,.
A0901544,1,.,.
A0901545,3,2,.
A0901551,1,.,.
A0901553,3,7,.
A0901554,2,.,.
A0901559,3,5,.
A0901563,2,.,.
A0901569,3,2,.
A0901570,2,.,.
A0901571,1,.,.
A0901575,2,.,.
A0901581,2,.,.
A0901585,1,.,.
A0901586,3,5,1
A0901589,1,.,.
A0901592,1,.,.
A0901595,2,.,.
A0901597,1,.,.
A0901599,3,7,1
A0901601,1,.,.
A0901603,2,.,.
A0901604,1,.,.
A0901605,2,.,.
A0901606,1,.,.
A0901608,1,.,.
A0901610,3,2,.
A0901611,2,.,.
A0901613,1,.,.
A0901614,1,.,.
A0901618,1,.,.
A0901619,2,.,.
A0901620,1,.,.
A0901621,1,.,.
A0901623,1,.,.
A0901628,1,.,.
A0901630,3,5,1
A0901631,3,5,1
A0901633,3,2,.
A0901635,1,.,.
A0901638,3,3,.
A0901645,2,.,.
A0901654,3,5,1
A0901656,1,.,.
A0901659,1,.,.
A0901660,1,.,.
A0901665,1,.,.
A0901667,1,.,.
A0901670,1,.,.
A0901671,3,2,.
A0901672,1,.,.
A0901682,3,5,1
A0901684,1,.,.
A0901685,1,.,.
A0901687,3,5,1
A0901694,3,2,1
A0901696,1,.,.
A0901701,3,5,1
A0901705,2,.,.
A0901712,3,5,1
A0901714,3,5,1
A0901715,1,.,.
A0901718,1,.,.
A0901721,1,.,.
A0901723,2,.,.
A0901725,1,.,.
A0901726,1,.,.
A0901727,1,.,.
A0901730,1,.,.
A0901731,1,.,.
A0901736,2,.,.
A0901744,1,.,.
A0901746,3,5,.
A0901771,3,5,1
A0901772,1,.,.
A0901774,1,.,.
A0901784,1,.,.
A0901790,3,10,.
A0901793,2,.,.
A0901795,2,.,.
A0901801,1,.,.
A0901802,1,.,.
A0901804,3,5,1
A0901810,1,.,.
A0901811,1,.,.
A0901816,1,.,.
A0901817,1,.,.
A0901819,3,3,.
A0901820,1,.,.
A0901821,1,.,.
A0901822,1,.,.
A0901823,3,2,1
A0901826,1,.,.
A0901827,1,.,.
A0901828,2,.,.
A0901833,3,12,1
A0901834,1,.,.
A0901835,1,.,.
A0901836,3,2,.
A0901837,1,.,.
A0901849,2,.,.
A0901853,3,5,1
A0901856,2,.,.
A0901875,2,.,.
A0901879,1,.,.
A0901891,1,.,.
A0901910,1,.,.
A0901920,1,.,.
A0901921,1,.,.
A0901922,1,.,.
A0901923,1,.,.
A0901929,3,5,.
A0901931,1,.,.
A0901933,3,5,1
A0901940,1,.,.
A0901944,1,.,.
A0901965,3,5,1
A0901970,3,2,.
A0901981,3,5,1
A0901983,1,.,.
A0901984,3,5,.
A0901985,1,.,.
A0901987,2,.,.
A0901993,3,2,.
A0901994,3,2,.
A0901995,3,3,.
A0901997,1,.,.
A0902000,3,2,.
A0902001,1,.,.
A0902002,3,5,1
A0902004,1,.,.
A0902010,1,.,.
A0902013,1,.,.
A0902016,1,.,.
A0902018,1,.,.
A0902021,1,.,.
A0902030,2,.,.
A0902031,1,.,.
A0902036,2,.,.
A0902037,2,.,.
A0902038,1,.,.
A0902041,3,2,1
A0902043,2,.,.
A0902045,1,.,.
A0902047,3,2,1
A0902048,1,.,.
A0902049,1,.,.
A0902050,3,5,1
A0902052,1,.,.
A0902053,1,.,.
A0902056,1,.,.
A0902057,3,5,.
A0902058,1,.,.
A0902059,3,7,1
A0902062,3,5,.
A0902063,1,.,.
A0902065,1,.,.
A0902067,1,.,.
A0902071,1,.,.
A0902074,1,.,.
A0902075,1,.,.
A0902078,1,.,.
A0902079,3,3,1
A0902081,1,.,.
A0902082,3,5,1
A0902083,3,2,.
A0902088,3,2,.
A0902089,3,7,.
A0902090,1,.,.
A0902091,3,2,.
A0902100,1,.,.
A0902101,3,5,.
A0902103,1,.,.
A0902107,1,.,.
A0902108,3,8,1
A0902112,3,3,1
A0902115,1,.,.
A0902120,1,.,.
A0902122,1,.,.
A0902133,3,2,.
A0902135,3,2,.
A0902142,2,.,.
A0902143,1,.,.
A0902147,3,5,.
A0902148,2,.,.
A0902149,2,.,.
A0902152,3,5,.
A0902153,3,5,.
A0902154,1,.,.
A0902155,3,2,.
A0902156,3,5,.
A0902166,3,2,1
A0902176,3,5,1
A0902177,1,.,.
A0902180,1,.,.
A0902183,1,.,.
A0902188,1,.,.
A0902189,3,2,1
A0902191,1,.,.
A0902195,3,3,1
A0902197,2,.,.
A0902198,3,5,1
A0902201,1,.,.
A0902202,1,.,.
A0902204,1,.,.
A0902206,1,.,.
A0902208,1,.,.
A0902209,3,5,.
A0902213,1,.,.
A0902214,3,5,.
A0902216,3,5,.
A0902217,1,.,.
A0902218,1,.,.
A0902222,3,5,.
A0902224,3,3,1
A0902225,1,.,.
A0902226,1,.,.
A0902227,1,.,.
A0902233,1,.,.
A0902234,1,.,.
A0902235,3,5,1
A0902236,3,2,1
A0902240,1,.,.
A0902242,3,7,1
A0902244,1,.,.
A0902247,3,5,.
A0902260,1,.,.
A0902268,2,.,.
A0902269,1,.,.
A0902270,1,.,.
A0902275,3,2,.
A0902276,2,.,.
A0902277,2,.,.
A0902279,3,2,.
A0902284,1,.,.
A0902285,1,.,.
A0902289,3,3,1
A0902290,2,.,.
A0902291,2,.,.
A0902293,3,8,1
A0902294,2,.,.
A0902296,2,.,.
A0902298,1,.,.
A0902303,3,5,1
A0902304,1,.,.
A0902305,1,.,.
A0902306,1,.,.
A0902315,2,.,.
A0902318,1,.,.
A0902320,2,.,.
A0902322,1,.,.
A0902323,1,.,.
A0902324,3,5,1
A0902326,1,.,.
A0902327,1,.,.
A0902330,1,.,.
A0902331,2,.,.
A0902335,3,5,1
A0902344,3,5,1
A0902345,3,5,1
A0902349,1,.,.
A0902352,2,.,.
A0902354,1,.,.
A0902355,2,.,.
A0902359,2,.,.
A0902361,1,.,.
A0902362,1,.,.
A0902363,3,5,1
A0902364,3,5,.
A0902366,3,5,1
A0902368,3,5,1
A0902370,3,2,1
A0902373,1,.,.
A0902375,3,2,.
A0902380,2,.,.
A0902392,1,.,.
A0902399,1,.,.
A0902402,3,5,1
A0902405,1,.,.
A0902413,3,5,1
A0902424,1,.,.
A0902426,1,.,.
A0902436,3,2,.
A0902439,3,8,1
A0902443,1,.,.
A0902444,3,3,1
A0902446,1,.,.
A0902448,1,.,.
A0902449,1,.,.
A0902450,1,.,.
A0902457,1,.,.
A0902460,1,.,.
A0902464,3,2,.
A0902466,1,.,.
A0902467,1,.,.
A0902478,1,.,.
A0902485,3,5,.
A0902486,1,.,.
A0902491,3,2,1
A0902494,3,3,1
A0902499,1,.,.
A0902500,1,.,.
A0902502,1,.,.
A0902503,1,.,.
A0902504,1,.,.
A0902505,1,.,.
A0902514,1,.,.
A0902515,1,.,.
A0902521,1,.,.
A0902525,1,.,.
A0902526,1,.,.
A0902527,1,.,.
A0902537,1,.,.
A0902539,3,5,.
A0902540,2,.,.
A0902541,1,.,.
A0902543,1,.,.
A0902546,3,2,.
A0902554,1,.,.
A0902556,3,5,1
A0902557,3,5,1
A0902559,1,.,.
A0902561,2,.,.
A0902562,1,.,.
A0902563,3,5,1
A0902564,1,.,.
A0902565,1,.,.
A0902568,3,2,.
A0902569,2,.,.
A0902572,2,.,.
A0902574,2,.,.
A0902575,1,.,.
A0902577,3,5,1
A0902579,1,.,.
A0902582,3,5,1
A0902585,1,.,.
A0902586,1,.,.
A0902588,1,.,.
A0902590,2,.,.
A0902592,1,.,.
A0902593,1,.,.
A0902595,1,.,.
A0902600,3,5,1
A0902602,1,.,.
A0902603,2,.,.
A0902604,3,5,.
A0902605,1,.,.
A0902606,3,2,1
A0902610,3,5,1
A0902611,1,.,.
A0902614,1,.,.
A0902622,1,.,.
A0902624,3,5,1
A0902625,1,.,.
A0902631,1,.,.
A0902636,3,2,.
A0902637,2,.,.
A0902648,3,5,1
A0902652,1,.,.
A0902654,1,.,.
A0902655,3,5,1
A0902660,1,.,.
A0902662,1,.,.
A0902663,2,.,.
A0902665,3,3,.
A0902667,3,2,1
A0902672,3,5,1
A0902677,1,.,.
A0902678,1,.,.
A0902682,3,2,1
A0902683,3,5,1
A0902685,1,.,.
A0902687,3,5,.
A0902690,2,.,.
A0902693,1,.,.
A0902694,3,5,.
A0902702,1,.,.
A0902704,1,.,.
A0902709,3,2,1
A0902713,1,.,.
A0902714,1,.,.
A0902729,3,3,1
A0902730,2,.,.
A0902732,2,.,.
A0902737,2,.,.
A0902742,3,5,1
A0902744,1,.,.
A0902750,3,5,1
A0902751,1,.,.
A0902755,2,.,.
A0902756,3,5,.
A0902757,1,.,.
A0902760,1,.,.
A0902761,1,.,.
A0902762,2,.,.
A0902769,3,5,.
A0902773,3,2,1
A0902776,1,.,.
A0902777,3,5,1
A0902778,3,5,.
A0902779,3,5,1
A0902783,3,5,.
A0902784,3,5,1
A0902788,1,.,.
A0902791,2,.,.
A0902793,1,.,.
A0902796,1,.,.
A0902801,1,.,.
A0902802,1,.,.
A0902806,1,.,.
A0902808,3,2,.
A0902809,1,.,.
A0902811,1,.,.
A0902817,1,.,.
A0902818,1,.,.
A0902822,3,5,1
A0902824,3,5,1
A0902826,3,2,.
A0902828,3,2,.
A0902832,3,5,.
A0902833,3,5,1
A0902835,2,.,.
A0902836,3,5,.
A0902837,1,.,.
A0902839,3,5,1
A0902844,3,5,1
A0902845,3,5,1
A0902861,3,5,1
A0902864,3,2,1
A0902867,2,.,.
A0902869,1,.,.
A0902872,2,.,.
A0902873,1,.,.
A0902884,2,.,.
A0902894,1,.,.
A0902896,1,.,.
A0902897,1,.,.
A0902898,3,5,1
A0902899,3,5,.
A0902901,3,5,.
A0902904,3,5,1
A0902906,3,5,1
A0902909,1,.,.
A0902915,2,.,.
A0902926,3,6,1
A0902928,1,.,.
A0902931,3,2,.
A0902934,3,2,.
A0902935,1,.,.
A0902941,2,.,.
A0902948,3,5,1
A0902949,1,.,.
A0902953,2,.,.
A0902959,1,.,.
A0902963,2,.,.
A0902967,3,5,.
A0902968,3,5,.
A0902972,3,5,.
A0902974,1,.,.
A0902975,3,5,1
A0902977,1,.,.
A0902978,3,5,1
A0902981,3,5,.
A0902982,1,.,.
A0902983,1,.,.
A0902985,3,3,1
A0902991,3,5,1
A0902992,2,.,.
A0902997,2,.,.
A0903000,3,5,1
A0903001,1,.,.
A0903005,3,5,.
A0903009,3,2,1
A0903013,1,.,.
A0903018,3,5,1
A0903022,2,.,.
A0903029,1,.,.
A0903038,1,.,.
A0903043,1,.,.
A0903044,1,.,.
A0903045,1,.,.
