PPIN,ISR,OOS,INACTIVE
71005,1,.,.
71027,1,.,.
71038,1,.,.
71071,2,.,.
71093,1,.,.
71107,1,.,.
71118,1,.,.
71129,1,.,.
71151,1,.,.
71162,1,.,.
71173,1,.,.
71184,1,.,.
71195,1,.,.
71242,1,.,.
71253,1,.,.
71264,1,.,.
71275,1,.,.
71286,1,.,.
71322,1,.,.
71333,1,.,.
71344,1,.,.
71355,1,.,.
71366,1,.,.
71377,1,.,.
71388,2,.,.
71399,1,.,.
71402,1,.,.
71413,2,.,.
71424,1,.,.
71435,1,.,.
71446,2,.,.
71457,1,.,.
71468,1,.,.
71504,1,.,.
71515,1,.,.
71526,1,.,.
71537,2,.,.
71548,3,2,.
71559,1,.,.
71581,2,.,.
71592,1,.,.
71628,1,.,.
71639,1,.,.
71672,1,.,.
71683,1,.,.
71694,1,.,.
71719,2,.,.
71741,2,.,.
71752,2,.,.
71785,1,.,.
71796,1,.,.
71821,1,.,.
71832,3,2,.
71843,1,.,.
71854,1,.,.
71912,1,.,.
71923,1,.,.
71934,2,.,.
71945,1,.,.
71967,2,.,.
71978,1,.,.
71989,1,.,.
72031,1,.,.
72042,1,.,.
72053,1,.,.
72086,1,.,.
72111,3,12,1
72268,2,.,.
72279,1,.,.
72315,1,.,.
72326,1,.,.
72348,2,.,.
72359,1,.,.
72439,1,.,.
72461,1,.,.
72472,1,.,.
72483,1,.,.
72508,1,.,.
72519,3,2,.
72541,1,.,.
72574,1,.,.
72596,1,.,.
72632,2,.,.
72654,1,.,.
72665,1,.,.
72687,1,.,.
72698,1,.,.
72745,1,.,.
72756,1,.,.
72767,1,.,.
72778,2,.,.
72869,1,.,.
72891,1,.,.
72905,1,.,.
72927,1,.,.
72938,3,5,.
72949,1,.,.
72971,1,.,.
72993,3,2,1
73115,1,.,.
73126,2,.,.
73137,1,.,.
73148,1,.,.
73159,2,.,.
73181,1,.,.
73228,1,.,.
73261,1,.,.
73272,1,.,.
73283,1,.,.
73294,1,.,.
73363,1,.,.
73374,1,.,.
73421,1,.,.
73432,2,.,.
73454,1,.,.
73476,1,.,.
73487,1,.,.
73498,1,.,.
73512,1,.,.
73523,1,.,.
73625,1,.,.
73636,1,.,.
73738,1,.,.
73771,1,.,.
73895,2,.,.
73931,1,.,.
73942,1,.,.
73975,1,.,.
73997,1,.,.
74006,2,.,.
74017,2,.,.
74028,1,.,.
74039,1,.,.
74061,1,.,.
74072,1,.,.
74094,1,.,.
74108,3,3,1
74119,1,.,.
74141,2,.,.
74152,1,.,.
74163,1,.,.
74174,3,2,.
74221,2,.,.
74254,3,2,.
74265,1,.,.
74276,1,.,.
74287,1,.,.
74298,1,.,.
74301,1,.,.
74312,1,.,.
74323,1,.,.
74334,1,.,.
74345,1,.,.
74356,1,.,.
74367,1,.,.
74378,2,.,.
74403,1,.,.
74425,1,.,.
74458,1,.,.
74469,1,.,.
74505,1,.,.
74571,1,.,.
74582,3,8,1
74618,2,.,.
74673,1,.,.
74695,1,.,.
74709,1,.,.
74731,1,.,.
74753,1,.,.
74786,2,.,.
74822,1,.,.
74833,1,.,.
74844,1,.,.
74866,1,.,.
74877,1,.,.
74888,1,.,.
74899,1,.,.
74902,1,.,.
74913,1,.,.
74924,2,.,.
74968,1,.,.
74979,1,.,.
75021,1,.,.
75032,1,.,.
75054,1,.,.
75065,1,.,.
75076,3,2,.
75087,1,.,.
75098,1,.,.
75101,2,.,.
75112,1,.,.
75134,1,.,.
75156,1,.,.
75167,1,.,.
75178,1,.,.
75189,1,.,.
75203,1,.,.
75225,1,.,.
75236,1,.,.
75291,1,.,.
75305,1,.,.
75316,2,.,.
75327,1,.,.
75371,1,.,.
75382,1,.,.
75393,3,2,1
75407,3,2,.
75418,1,.,.
75429,1,.,.
75473,1,.,.
75484,1,.,.
75495,1,.,.
75509,1,.,.
75542,1,.,.
75553,1,.,.
75575,3,2,.
75611,2,.,.
75622,1,.,.
75633,1,.,.
75644,1,.,.
75655,1,.,.
75677,2,.,.
75688,1,.,.
75699,1,.,.
75724,1,.,.
75735,3,2,.
75746,1,.,.
75779,1,.,.
75804,1,.,.
75815,1,.,.
75837,1,.,.
75859,1,.,.
75892,1,.,.
75906,1,.,.
75917,1,.,.
75928,1,.,.
75983,1,.,.
75994,1,.,.
76003,1,.,.
76014,1,.,.
76036,1,.,.
76047,1,.,.
76058,1,.,.
76105,2,.,.
76116,1,.,.
76127,1,.,.
76138,3,12,1
76149,1,.,.
76171,1,.,.
76218,1,.,.
76251,1,.,.
76262,1,.,.
76284,1,.,.
76309,3,2,.
76331,1,.,.
76375,2,.,.
76386,2,.,.
76397,1,.,.
76422,2,.,.
76455,2,.,.
76466,1,.,.
76488,2,.,.
76499,1,.,.
76502,1,.,.
76513,2,.,.
76535,1,.,.
76546,1,.,.
76557,1,.,.
76568,1,.,.
76579,1,.,.
76604,1,.,.
76637,2,.,.
76648,1,.,.
